Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Coach For Men,226 SAR,"Launched in 2017 and featuring actor James Franco as the face of the fragrance, Coach for men, by Coach, is meant for the modern and sophisticated man. This elegant cologne starts with citrus top notes of pear, bergamot, and kumquat and then blends perfectly into middle notes of cardamom, geranium, and coriander. Base notes include ambergris, Haitian vetiver, and suede. The woody scent is both clean and spicy, creating a fragrance that works in the board room or on a playful night out. It's also is the perfect choice for warm weather.
About the brand:
A leading design house of modern luxury accessories and lifestyle collections, Coach has built a long-standing reputation of quality craftsmanship, defined by a free-spirited, all-American attitude. Inspired by its heritage over the past 75 years, the brand approaches design with a modern vision, reimagining luxury for today with a unique authenticity and innovation synonymous with effortless New York style.",none,none,"['Coach', 'Men', 'Perfume', 'Masculine', '100 ml', 'Pear, Bergamot, Kumquat, Grapefruit, Lavender, Cardamom, Coriander, Geranium, Haitian Vetiver, Suede, Ambergris, Amberwood.', 'Eau de Toilette', 'Bergamot, Kumquat, Pear', 'Geranium, Cardamom, Coriander (Cilantro)', 'Ambergris, Suede, Haitian Vetiver']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/o/coach_coach_for_men_edt_100_ml.jpg,Coach,Men,Perfume,Masculine,100 ml,"Pear, Bergamot, Kumquat, Grapefruit, Lavender, Cardamom, Coriander, Geranium, Haitian Vetiver, Suede, Ambergris, Amberwood.",Eau de Toilette,"Bergamot, Kumquat, Pear","Geranium, Cardamom, Coriander (Cilantro)","Ambergris, Suede, Haitian Vetiver",,
Al Mas Bakhour Oud Wow,35 SAR,These incense sticks from Al Mas Bakhour Oud Wow made of all-natural ingredients without any harmful additives to provide amazing scents that last for more that one hour.,none,none,"['Al Mas', 'Unisex', 'Bakhoor', 'Oud', '30 g']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287015120211_al_mas_bakhour_oud_wawo35_g_1.jpg,Al Mas,Unisex,Bakhoor,Oud,30 g,,,,,,,
Burberry My Burberry EDP,237 SAR,"From the famous Burberry trench coat we extracted to have this distinctive fragrance and entered the London garden after the rain to pick so that this perfume has a strong aroma of fresh floral mixture to become the title of femininity and luxury.
About the brand:
Founded in 1856, Burberry is a trusted luxury design house, world famous for its accessories, tartan patterns, and sturdy trench coats . Their famous motifs are often copied and imitated across the globe; however, none can match the quality of this staple of British fashion. Their fragrances match many qualities of their apparel: classic, long-lasting, and elegant.",none,none,"['Burberry', 'Women', 'Perfume', 'Feminine', 'Floral', '50 ml', '2014', 'Sweet Pea, Bergamot, Mandarin , Grapefruit, Lemon, Passionfruit, Peach , Gardenia, Patchouli, Rose', 'Eau de Parfum', 'sweet pea, lime, and citrus', 'geranium, freesia, quince, passionfruit', 'Patchouli, Damask rose, Centifolia rose']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/6/16_burberry_my_burberry_edp_women.jpg,Burberry,Women,Perfume,Feminine,Floral,50 ml,2014,"Sweet Pea, Bergamot, Mandarin , Grapefruit, Lemon, Passionfruit, Peach , Gardenia, Patchouli, Rose",Eau de Parfum,"sweet pea, lime, and citrus","geranium, freesia, quince, passionfruit","Patchouli, Damask rose, Centifolia rose"
Coach Floral,203 SAR,"Coach Floral is a feminine and romantic perfume that was introduced in 2018. It has a perfect blend of florals, fruits, and spices that make it perfect for any occasion, night or day. The fragrance opens with notes that will excite your senses and consist of pink peppercorn, citrus Coeur and pineapple sorbet. The heart notes are what give this perfume its name and are gardenia, rose tea and jasmine sambac. The fragrance then settles into the base notes of patchouli, musk and creamy wood. The rounded glass bottle is adorned with the emblem of the brand and a pale pink flower hangs off the neck.
About the brand:
A leading design house of modern luxury accessories and lifestyle collections, Coach has built a long-standing reputation of quality craftsmanship, defined by a free-spirited, all-American attitude. Inspired by its heritage over the past 75 years, the brand approaches design with a modern vision, reimagining luxury for today with a unique authenticity and innovation synonymous with effortless New York style.",none,none,"['Coach', 'Women', 'Perfume', 'Feminine', 'Oriental', '90 ml', '2018', 'citruses , pineapple , pink pepper , tea rose , jasmine sambac , gardenia , patchouli , woody notes , musk .', 'Eau de Parfum', 'Citruses, Pineapple, Pink Pepper', 'Gardenia, Jasmine Sambac, Tea Rose', 'Patchouli, Woody Notes, Musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_coach_perfumes_floral_for_women_eau_de_perfum_3386460095341.jpg,Coach,Women,Perfume,Feminine,Oriental,90 ml,2018,"citruses , pineapple , pink pepper , tea rose , jasmine sambac , gardenia , patchouli , woody notes , musk .",Eau de Parfum,"Citruses, Pineapple, Pink Pepper","Gardenia, Jasmine Sambac, Tea Rose","Patchouli, Woody Notes, Musk"
none,none,none,none,none,"['Atelier Des Ors', 'Unisex', 'Perfume', 'Glamorous', 'Oriental', '100 ml', '2015', 'Pink pepper, cardamom, cinnamon, strex, amber, woods, cedarwood, green leaves, musk, peru balsam, vanilla', 'Eau de Parfum', 'Pink pepper, cardamom, cinnamon', 'Strix, amber, woods, cedar, green leaves', 'Musk, Peruvian Conditioner, Vanilla']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_atelier_des_ors_perfumes_lune_feline_eau_de_parfum_100ml.jpg,Atelier Des Ors,Unisex,Perfume,Glamorous,Oriental,100 ml,2015,"Pink pepper, cardamom, cinnamon, strex, amber, woods, cedarwood, green leaves, musk, peru balsam, vanilla",Eau de Parfum,"Pink pepper, cardamom, cinnamon","Strix, amber, woods, cedar, green leaves","Musk, Peruvian Conditioner, Vanilla"
Guerlain L'Instant,488 SAR,"A sensual and complicated fragrance, for the first time the fragrance of the Guerlain collection contains magnolia, which harmonizes with a citrus honey scent mixed with bergamot, mandarin and white flowers accompanied by the sensual feelings of vanilla and musk that leaves an amazing magical intimate effect.
About the brand:
The brand dates back to 1828, when it started as a small perfume company in Paris led by Pierre Francois Pascal Guerlain, and Pierre Francois Pascal transferred his skills to his son Amy, who in turn transferred his experience to his nephew Jacques (the latter was responsible for the Shalimar scent of Guerlain's signature). And they made a big name in the perfume industry globally.",5,1 Rating,"['Guerlain', 'Women', 'Perfume', 'Modern', 'Floral Oriental', '100 ml', 'Bergamot, Tangerine, Red Apple, Iris, Jasmine, Ylang-ylang, Magnolia, Musk, Amber, Benzoin, Vanilla, White Honey.', 'Eau de Parfum', 'Bergamot, Tangerine, Red Apple,', 'Iris, Jasmine, Ylang-ylang, Magnolia', 'Musk, Amber, Benzoin, Vanilla, White Honey.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3346470132818_guerlain_l_instant_edp_100_ml_1.jpg,Guerlain,Women,Perfume,Modern,Floral Oriental,100 ml,"Bergamot, Tangerine, Red Apple, Iris, Jasmine, Ylang-ylang, Magnolia, Musk, Amber, Benzoin, Vanilla, White Honey.",Eau de Parfum,"Bergamot, Tangerine, Red Apple,","Iris, Jasmine, Ylang-ylang, Magnolia","Musk, Amber, Benzoin, Vanilla, White Honey.",
Ajwa Home White Jasmine - 400 ml,35 SAR,"Ajwa Home Scent Spray White Jasmine is a home fragrance which replaces the bad odour and makes the atmosphere gaiety. This home fragrance is long-lasting, refreshing and aromatic. It is suitable for daily cleaning routine.",none,none,"['400 ml', 'Ajwa Home', 'Room Spray', 'White Jasmine']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287001780832_ajwa_home_home_scent_from_ajwa_home_white_jasmine_-1.jpg,400 ml,Ajwa Home,Room Spray,White Jasmine,,,,,,,,
none,none,none,none,none,"['Giorgio Armani', 'Men', 'Perfume', 'Feminine', 'Aromatic', '100 ml', '2017', 'Cardamom, Pink Pepper, Violet Leaves, Sage, Shestnut, Vanilla, Musk', 'Eau de Toilette', 'Cardamom, Pink pepper, Violet leaf', 'Sage', 'Chestnut, Vanilla']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfum_giorgio_armani_perfumes_stronger_you_for_men._eau_de_toilette.jpg,Giorgio Armani,Men,Perfume,Feminine,Aromatic,100 ml,2017,"Cardamom, Pink Pepper, Violet Leaves, Sage, Shestnut, Vanilla, Musk",Eau de Toilette,"Cardamom, Pink pepper, Violet leaf",Sage,"Chestnut, Vanilla"
none,none,none,none,none,"['Coach', 'Women', 'Perfume', 'Feminine', 'Woody', '50 ml', '2017', 'Rasepberry Leaf, Pink Pepper, Pear,Turkish Rose,Musk, Sandalwood', 'Eau de Parfum', 'Rasepberry Leaf, Pink Pepper, Pear', 'Turkish Rose', 'Musk, Sandalwood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_coach_perfumes_coach_women_edp_for_women_eau_de_perfum.jpg,Coach,Women,Perfume,Feminine,Woody,50 ml,2017,"Rasepberry Leaf, Pink Pepper, Pear,Turkish Rose,Musk, Sandalwood",Eau de Parfum,"Rasepberry Leaf, Pink Pepper, Pear",Turkish Rose,"Musk, Sandalwood"
Marly Delina,1265 SAR,"This feminine floral fragrance adds tender and romance touches that enchants who you love, making you feel attractive and desirable.
About the brand:
De Marley is a French global brand that specializes in luxury parfumes and offers an original concept of luxury parfumes inspired from the eighteenth century, when the best parfumes were made for King Louis XV as an appreciation for the prestigious horse races in which he was expert.",5,2 Rating,"['Parfums de Marly', 'Women', 'Perfume', 'Romantic', 'Floral', '75 ml', '2017', 'Bergamot, rhubarb, litchi, nutmeg, Turkish rose, peony, petalia, vanilla, musk, cashmere, Haitian vetiver, cedar wood, incense.', 'Eau de Parfum', 'Bergamot, rhubarb, litchi, nutmeg', 'Turkish rose, peony, petalia, vanilla, musk', 'Cashmere, Haitian Vetiver, Cedarwood, Incense.']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/marly_marly_delina_edp_75_ml.jpg,Parfums de Marly,Women,Perfume,Romantic,Floral,75 ml,2017,"Bergamot, rhubarb, litchi, nutmeg, Turkish rose, peony, petalia, vanilla, musk, cashmere, Haitian vetiver, cedar wood, incense.",Eau de Parfum,"Bergamot, rhubarb, litchi, nutmeg","Turkish rose, peony, petalia, vanilla, musk","Cashmere, Haitian Vetiver, Cedarwood, Incense."
Versace Eros Pour Femme EDT,289 SAR,"Feminine woody floral fragrance, representing the seductress of Eros, the god of love, and the power of women in Italian civilization, with a mixture of bergamot, lemon bud, and sandalwood.
About the brand:
Versace deserves no introduction. It produces luxury Italian-made ready-to-wear and leather accessories. Versace has also succeeded in introducing and promoting a wide variety of perfumes for men and women.",5,1 Rating,"['Versace', 'Women', 'Perfume', 'Sophisticated', 'Woody', '100 ml', '2014', 'Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.', 'Eau de Toilette', 'Sicilian lemon, Calabrian bergamot, Pomegranate', 'lemon, sambac jasmine, peony', 'Sandalwood, Ambrox, Musk,woods']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_versace_perfumes_eros_pour_femme_for_women_eau_de_toilette.jpg,Versace,Women,Perfume,Sophisticated,Woody,100 ml,2014,"Sicilian lemon, Calabrian bergamot, pomegranate accords, lemon, sambac jasmine, peony, sandalwood, ambrox, musk, various woody notes.",Eau de Toilette,"Sicilian lemon, Calabrian bergamot, Pomegranate","lemon, sambac jasmine, peony","Sandalwood, Ambrox, Musk,woods"
Al Majed For Oud Frash Retag - 250 ml,138 SAR,"A mix of the most wonderful French fragrances. An elegant composition that spreads a charming scent, staying for a long time. It gives you an amazing feeling of happiness, comfort and relaxation.
About the brand:
Al Majed For Oud Company was established in 1956 to establish a promising market in the field of oud trade through the wholesale sector to culminate more than 60 years of experience in the manufacture of oud and perfumes and their preparations across the Gulf market, by creating new aromatic lines that contributed to expanding the customer base and orientation More than 160 sales platforms in the Kingdom of Saudi Arabia and the Gulf countries.",none,none,"['250 ml', 'Al Majed For Oud', 'Bed Linen Spray', 'Sensual', 'Floral', 'French scents']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6285091000786-almajed-for-oud-retaj-bed-freshener---250-ml-1.png,250 ml,Al Majed For Oud,Bed Linen Spray,Sensual,Floral,French scents,,,,,,
Narciso Rodriguez For Her Hair Mist - 30 ml,207 SAR,"Narciso Rodriguez Hair Mist for Her has a Floral, Woody and musky scent that is made espicially for women. Top note is rose; middle notes are iris and powdery notes; base note is musk.
About the brand:
One of the foremost American designers during the last two decades, Narciso Rodriguez plays a singular role in global fashion. Narciso Rodriguez’s fashion house is based in NYC where he shows his women’s ready-to-wear, handbags, shoes and fragrance collections.",none,none,"['30 ml', 'Narciso Rodriguez', 'Women', 'Hair Mist', 'Glamorous', 'Floral', 'Rose, Iris, Powdery, Musk', 'Rose', 'Iris, Powdery', 'Musk']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/4/3423470890228_narciso_rodriguez_for_her_hair_mist_30_ml.jpg,30 ml,Narciso Rodriguez,Women,Hair Mist,Glamorous,Floral,"Rose, Iris, Powdery, Musk",Rose,"Iris, Powdery",Musk,,
Lacoste L'Homme,166 SAR,"This woody spicy scent is designed for the tenacious man who always seek elegance and winning. The masculine composition of almond, vanilla, amber and musk will make you ignore all the rules.
About the brand:
Lacoste is a French company, established in 1933 by tennis players René Lacoste and André Gillier. Its green crocodile logo refers to the nickname of René Lacoste, who was nicknamed ""the Crocodile"" by his fans, because of his tenacity on the tennis court. The company is committed to designing products that combine discovery, excellence, and style. It sells parfumes, clothing, leather goods, towels, footwear, sportswear, eyewear, and watches.",none,none,"['Lacoste', 'Men', 'Perfume', 'Natural', 'Woody', '100 ml', '2017', 'Mandarin, Orange, Sweet Orange, Quince, Black Pepper, Ginger, Jasmine, Almond, Cedar, Woody Notes, Amber, Vanilla, Musk', 'Eau de Toilette', 'Mandarin, orange, quince, rhubarb', 'ginger, black pepper, jasmine, almond', 'vanilla, cedarwood, dry amber, musk, akigalawood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_lacoste_perfumes_l_homme_lacoste_for_men_eau_de_toilette_copy.jpg,Lacoste,Men,Perfume,Natural,Woody,100 ml,2017,"Mandarin, Orange, Sweet Orange, Quince, Black Pepper, Ginger, Jasmine, Almond, Cedar, Woody Notes, Amber, Vanilla, Musk",Eau de Toilette,"Mandarin, orange, quince, rhubarb","ginger, black pepper, jasmine, almond","vanilla, cedarwood, dry amber, musk, akigalawood"
Dr. Vranjes Firenze Oud Nobile Diffuser - 500 ml,690 SAR,"It's a luxurious oriental scent of authentic oud mixed with the freshness of incense and the warmth of incense and myrrh. The scent is presented in vegetarian sticks made of natural bamboo woods, along with a refilling package to guarantee that you have a luxurious scent continiously. The scent spreads quickly and remains intense and concentrated for long hours.
About the brand:
Dr. Vranjes Firenze is an Italian brand with more than 35 years of experience and professionalism in luxurious home fragrances and scented candles that come in a decorative pot to add a distinctive touch to the beauty of your house.",none,none,"['Dr. Vranjes Firenze', 'Diffuser', 'Charismatic', 'Oriental', 'Bergamot, Oud, Myrrh, Incense', 'Bergamot', 'Oud', 'Myrrh, Incense', '500 ml']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/8/0/8033196270072-dr.-vranjes-firenze-anniversario-oud-nobile-500-ml-1.png,Dr. Vranjes Firenze,Diffuser,Charismatic,Oriental,"Bergamot, Oud, Myrrh, Incense",Bergamot,Oud,"Myrrh, Incense",500 ml,,,
Chloe Love Story EDP,307 SAR,"This floral fragrance tells a story of seduction and femininity in an elegant and luxurious bottle creating by the sensuality scent of orange blossom and luminous notes of jasmine. This bottle designed to lives you in romantic and seduction moments that attracts your lover.
About the brand:
Chloé is a French fashion house founded by designer Gaby Aghion in 1952. Born in Egypt, Aghion moved to Paris in 1945 and launched Chloé a few years later. Chloé's first fragrance, the eponymous Chloé fragrance for women launched in 1975, was an enduring feminine classic. Chloé Narcisse sweetened the mix for the 1990s. The company has retained contemporary appeal with the launch of a new version of Chloé in 2008, designed to appeal to young women with modern tastes. Chloé offers fragrances in conjunction with Coty.",4,2 Rating,"['Chloe', 'Women', 'Perfume', 'Romantic', 'Floral', '50 ml', '2014', 'Neroli, grapefruit, lemon, pear, bergamot, peach, black currant, rose, orange blossom, stefanotis, patchouli, cashmere wood, cedarwood, musk', 'Eau de Parfum', 'Neroli, grapefruit, lemon, pear, bergamot', 'Peaches, black currant, rose, orange flowers, stefanotes', 'Patchouli, cashmere wood, cedar wood, musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_chloe_perfumes_love_story_for_women_eau_de_parfum.jpg,Chloe,Women,Perfume,Romantic,Floral,50 ml,2014,"Neroli, grapefruit, lemon, pear, bergamot, peach, black currant, rose, orange blossom, stefanotis, patchouli, cashmere wood, cedarwood, musk",Eau de Parfum,"Neroli, grapefruit, lemon, pear, bergamot","Peaches, black currant, rose, orange flowers, stefanotes","Patchouli, cashmere wood, cedar wood, musk"
Sedr Alkhaleej Al Oud Oud - 50 g,42 SAR,"This home incense has a distinctive Arabian scent that fast spreads in your homes and covers every corner with the elegant Arabian scent of sandalwood and musk.
About the brand:
Sedr alkhaleej Perfumes is a Saudi Arab origin brand based in Jeddah, has excelled in the perfume industry with authentic Arab character, it produces a mixture of eastern and western perfumes, incense, air fresheners and body sprays, suitable for every sense with reasonable prices.",none,none,"['Sedr Alkhaleej', 'Bakhoor', 'Romantic', 'Floral', 'Roses, fruits, sandalwood, rose, moss, musk', 'Roses, fruits', 'Sandalwood, rose', 'Moss, musk']",https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/6/2/6287001952185_sedr_alkhaleej_al_oud_oud_50_g_50g_gs-dmm_consignment_1.jpg,Sedr Alkhaleej,Bakhoor,Romantic,Floral,"Roses, fruits, sandalwood, rose, moss, musk","Roses, fruits","Sandalwood, rose","Moss, musk",,,,
Givenchy Xeryus Rouge,247 SAR,"Xeryus the first oriental perfume for men by Givenchy, is a sensual and seductive fragrance created to impress. This intriguing fragrance presents an ideal balance of sweet amber, delicate carnation, attractive cypress, spicy sandalwood, aromatic juniper berries, earthy floral geranium, creamy leather and manly musk. The classy and masculine scent is befitting of your perfect summer night. Sweetness mixed with spiciness makes the perfume irresistible. The freshness and spiciness combination makes the fragrance both classy and chic. The epitome of charm; Xeryus is a masculine fragrance made for you. Make your presence known.
About the brand:
Founded in 1952, Givenchy is a beloved French luxury fashion house and perfume maker that continues to leave an indelible mark on the fashion industry. Today, the brand is celebrated worldwide for its avant-garde and timeless haute couture clothing, accessories, perfumes and cosmetics.",none,none,"['Givenchy', 'Men', 'Perfume', 'Feminine', 'Oriental', '100 ml', '1995', 'Kumquat, Green Cactus,Red Pepper,Cedar Wood', 'Eau de Toilette', 'Kumquat, Green Cactus', 'Red Pepper', 'Cedar Wood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_givenchy_perfumes_xeryus_rouge_for_men_eau_de_toilette.jpg,Givenchy,Men,Perfume,Feminine,Oriental,100 ml,1995,"Kumquat, Green Cactus,Red Pepper,Cedar Wood",Eau de Toilette,"Kumquat, Green Cactus",Red Pepper,Cedar Wood
Lacoste Eau De Lacoste L.12.12 Noire,188 SAR,"This aromatic woody fragrance for men reminds of the unforgettable hot summer evenings. Its intense blend of basil, watermelon and dark chocolate will provide you the charisma to captivate others.
About the brand:
Lacoste is a French company, established in 1933 by tennis players René Lacoste and André Gillier. Its green crocodile logo refers to the nickname of René Lacoste, who was nicknamed ""the Crocodile"" by his fans, because of his tenacity on the tennis court. The company is committed to designing products that combine discovery, excellence, and style. It sells parfumes, clothing, leather goods, towels, footwear, sportswear, eyewear, and watches.",none,none,"['Lacoste', 'Men', 'Perfume', 'Natural', 'Aromatic', '100 ml', '2013', 'Watermelon accord, Basil, Verbena, Lavender, Black chocolate accord, Cashmeran, Coumarin, Patchouli', 'Eau de Toilette', 'Watermelon accord', 'Basil, Verbena, Lavender', 'Black chocolate accord, Cashmeran, Coumarin, Patchouli']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/lacoste-eau-de-lacoste-l-12-12-noire.jpg,Lacoste,Men,Perfume,Natural,Aromatic,100 ml,2013,"Watermelon accord, Basil, Verbena, Lavender, Black chocolate accord, Cashmeran, Coumarin, Patchouli",Eau de Toilette,Watermelon accord,"Basil, Verbena, Lavender","Black chocolate accord, Cashmeran, Coumarin, Patchouli"
Guerlain Oud Essentiel,862 SAR,"Guerlain Oud Essentiel is a unisex oriental, woody fragrance. It brings the East and West together in a beautiful paradox. Oud is a mysterious and exotic element that is always a winning choice. The fragrance opens with a touch of Saffron notes and Pelargonium. At the heart Rose blooms along oud and Atlas cedar. The final notes evoke nostalgia with refined leather notes smoothly blended with incense and Gaïac wood. This divine, classy scent is perfect for cool months and special evenings. Guerlain Oud Essentiel conquers the senses, opens the heart and uplifts the spirit.",5,2 Rating,"['Guerlain', 'Women', 'Perfume', 'Charismatic', 'Woody', '125 ml', '2000', 'Saffron, Geranium,Oud, Bulgarian Rose, Atlas Cedar,Leather, Frankincense, Gaiac Wood', 'Eau de Parfum', 'Saffron, Geranium', 'Oud, Bulgarian Rose, Atlas Cedar', 'Leather, Frankincense, Gaiac Wood']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_guerlain_perfumes_oud_essentiel_for_women_eau_de_perfum-3346470132245.jpg,Guerlain,Women,Perfume,Charismatic,Woody,125 ml,2000,"Saffron, Geranium,Oud, Bulgarian Rose, Atlas Cedar,Leather, Frankincense, Gaiac Wood",Eau de Parfum,"Saffron, Geranium","Oud, Bulgarian Rose, Atlas Cedar","Leather, Frankincense, Gaiac Wood"
Yves Saint Laurent Y EDP,426 SAR,"A masculine fragrance that comes in a darker bottle, encompassing the sophisticated notes of bergamot, ginger, and sage. With a base that embodies the Y man's unique strength through the boldness of a vetiver scent.",4.67,3 Rating,"['Yves Saint Laurent', 'Men', 'Perfume', 'Masculine', 'Woody', '60 ml', '2018', 'Bergamot, Ginger, Apple, Sage, Geranium, Juniper Berries, Vetiver, Cedar, Tonka Beans, Amber Woods, Olibanum', 'Eau de Parfum']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614272050341_ysl_y_edp_60_ml_1.jpg,Yves Saint Laurent,Men,Perfume,Masculine,Woody,60 ml,2018,"Bergamot, Ginger, Apple, Sage, Geranium, Juniper Berries, Vetiver, Cedar, Tonka Beans, Amber Woods, Olibanum",Eau de Parfum,,,
Hugo Boss Hugo Just Different,170 SAR,"It is the perfect fragrance and the first choice for every man who strives to excel and create his own personality, the man who attracts the attention of everyone and captures his attention within moments, Here is this perfume that you will not regret for a moment after its acquisition, do not miss the opportunity to enjoy the mixture of basil, mint and patchouli found in this special fragrance
About the brand:
Founded in 1925 by Hugo Boss for clothing launching purpose, Hugo Boss is a German luxury fashion house. As of 2016, Hugo Boss has 1,100 retail stores worldwide. Hugo Boss has emerged as probably one of the most famous brands in the manufacturing and selling of fashion products. With a strong emphasis on both masculine and feminine products, you simply cannot help but fall in love with their perfumes.",none,none,"['Hugo Boss', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '125 ml', '2011', 'Mint, Freesia, Basil, Coriander, Patchouli, Cashmeran', 'Eau de Toilette']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/h/u/hugo_boss_hugo_jsut_different_eau_de_toilette_1.jpg,Hugo Boss,Men,Perfume,Extravagant,Aromatic,125 ml,2011,"Mint, Freesia, Basil, Coriander, Patchouli, Cashmeran",Eau de Toilette,,,
Estée Lauder Modern Muse,407 SAR,"Modern Muse by Estée Lauder is inspired by the self-confident and independent woman of the modern-day. This scent makes you feel confident, independent and inspiring. It perfectly blends floral, citrus, and earthy notes in a beautiful combination. The top notes of mandarin orange will add a zesty flavor to your senses. The heart notes of Sambac jasmine, Chinese jasmine, tuberose, light honeysuckle, and fresh white lily lends a stunning appeal to it. The base notes of sensual musk, Madagascar vanilla, golden amber, and patchouli are hard to miss.
About the brand:
Estée Lauder is a leading cosmetics brand known for its wide range of skincare and beauty products. Established by Estée Lauder in 1946, this brand largely known for its lipsticks and other skincare products is also regarded for its collection of colognes and luxury perfumes. The perfumes from this brand embody passion, which makes them popular among men and women of different ages.",5,4 Rating,"['Estée Lauder', 'Women', 'Perfume', 'Feminine', 'Floral', '50 ml', '2013', 'Mandarin Orange, Tuberose, Lily, Flower Petals and Honeysuckle, Patchouli, Amber, Musk and Madagascar Vanilla', 'Eau de Parfum', 'Mandarin Orange', 'Tuberose, Lily, Flower Petals and Honeysuckle', 'Patchouli, Amber, Musk and Madagascar Vanilla']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/s/estee_lauder_modern_muse_eau_de_parfum_1.jpg,Estée Lauder,Women,Perfume,Feminine,Floral,50 ml,2013,"Mandarin Orange, Tuberose, Lily, Flower Petals and Honeysuckle, Patchouli, Amber, Musk and Madagascar Vanilla",Eau de Parfum,Mandarin Orange,"Tuberose, Lily, Flower Petals and Honeysuckle","Patchouli, Amber, Musk and Madagascar Vanilla"
Armand Basi In Red,121 SAR,"This amazing floral scent comes in an unique bottle design that further explains about the spring floral element of the fragrance. The high notes consist of mandarin, bergamot, cinnamon and ginger; central notes consist of jasmine, rose, lily and violet leaves; bottom notes consist of woody notes and musk.
About the brand:
Armand Basi is a Spanish fashion and lifestyle brand. In 1940 Mercedes Basi founded and opened her first store in Barcelona, Spain. She specialized in knitwear made of high-quality Scottish yarn. After that, they were able to establish a first manufacturing factory for premium knitwear garments. Armand Basi fragrances are made in collaboration with perfumers Olivier Cresp, Jean-Pierre Bethouart, Fabrice Pellegrin, Quentin Bisch, Nathalie Lorson, Francis Kurkdjian, Veronique Nyberg, Olivier Pescheux, Annick Menardo, Sylvie Fischer, Alberto Morillas, Francoise Caron and Alienor Massenet.",none,none,"['Armand Basi', 'Women', 'Perfume', 'Feminine', 'Oriental', '100 ml', '2003', 'Violet Leaves, Ginger, Moss, Mandarin, Mergamot, Cardamom, Wood, Rose, Lily, Musk, Jasmine', 'Eau de Toilette', 'Ginger, Mandarin, Bergamot, Cardamom', 'Rose, Lily, Violet Leaves, Jasmine', 'Moss, Wood, Musk']",https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_armand_basi_perfumes_in_red_for_women_eau_de_toiletteqqqqq_1.jpg,Armand Basi,Women,Perfume,Feminine,Oriental,100 ml,2003,"Violet Leaves, Ginger, Moss, Mandarin, Mergamot, Cardamom, Wood, Rose, Lily, Musk, Jasmine",Eau de Toilette,"Ginger, Mandarin, Bergamot, Cardamom","Rose, Lily, Violet Leaves, Jasmine","Moss, Wood, Musk"
