Name,Price,Description,Rate,Rating_count,Details,image,Brand,Gender,Product_Type,Character,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Ad Astra By Minis,80 SAR,"Stars were always the fascination of the wanderers. Ever since mythical stories were wrapped around the stars, ""Ad Astra” is your journey towards the stars. This set was created for the wanderers looking for some mystical powers!
1- Noble Citrus:
A strong citrusy mystical scent with notes like lemon, cypress & cedarwood.
2- Noble Musk:
A muscular musky scent with notes like mint, ginger, musk incense & sandalwood.
3- Noble Spices:
A spicy powerful scent with notes like bergamot, pepper & vetiver.
About the brand:
Created by the brand Minis, famous for its small size sets. Minis Motto is ""Take me with you"", designed to be a hassle-free companion wherever you go! Each set is inspired by a unique theme, to complement all perfume lovers.",5,3 Rating,"['Eau de Parfum', 'Minis', 'Men', 'Perfume Set', 'Charismatic', 'Oriental', '2019', '3 * 30 ml']",none,Eau de Parfum,Minis,Men,Perfume Set,Charismatic,Oriental,2019,3 * 30 ml,,,,
Dior Homme Intense,430 SAR,"The appropriately named Dior Homme Intense was released in 2011 and is the perfect blend of sophisticated woody scents, masculine musk aromas, and fragrant floral sweetness. Created by Francois Demachy, the fragrance for men starts with base notes of cedar and vetiver that perfectly mingle with the middle notes of iris, musk mallow, and pear. Lavender top notes keep the fragrance fresh without making it become overwhelming. Spritz this fine cologne on in the morning to complement your work attire, and then wear this long-lasting fragrance well into the night.
About the brand:
Founded in 1946 by designer Christian Dior, Dior is a pillar in the world of leather goods, fashion accessories, footwear, jewelry, timepieces, fragrance, makeup and skin care products, maintaining a long tradition as a creator of haute-couture fashion. In 1947, the group's first fragrance, Miss Dior, took the world by storm. Since that fateful day, Dior fragrances have truly made their mark thanks to their scope of influence and the use of the noblest of materials, boldly and passionately creating high-quality, unique and timeless fragrances.",5,1 Rating,"['Dior', 'Men', 'Perfume', 'Romantic', 'Leather', '50 ml', '1988', 'Lavender,Pear, Musk, Iris,Cedar, Vetiver', 'Eau de Parfum', 'Lavender', 'Pear, Musk, Iris', 'Cedar, Vetiver']",none,Dior,Men,Perfume,Romantic,Leather,50 ml,1988,"Lavender,Pear, Musk, Iris,Cedar, Vetiver",Eau de Parfum,Lavender,"Pear, Musk, Iris","Cedar, Vetiver"
Memo Paris Irish Leather,1064 SAR,"this amazing leather scent represents the Irish ice morning that expresses the beauty of sunlight among lovely clouds, to have the pure beauty of nature, with an impressive blend of tonka beans, leather, and amber.
About the brand:
Memo Paris is a leading French brand in parfumes field and was established in 2007 by Clara Molloy and her husband John, who had a creative vision about parfumes as a great journey, and soon made deluxe scents and sell now all over the world",5,1 Rating,"['Memo Paris', 'Unisex', 'Perfume', 'Classical', 'Leather', '200 ml', '2013', 'Juniper berries, amber, skin, Ilex, tonka beans.', 'Eau de Parfum']",none,Memo Paris,Unisex,Perfume,Classical,Leather,200 ml,2013,"Juniper berries, amber, skin, Ilex, tonka beans.",Eau de Parfum,,,
Guerlain L’Homme Ideal,397 SAR,"Guerlain L'Homme Ideal is a woody aromatic fragrance for men thriving to be ideal. The ideal fragrance is meant to be handsome, smart and strong. The fragrance is presented in an ideal bottle; masculine, elegant and distinguished. The sweet opening notes include bergamot, spices and almond. At the heart, Turkish rose, incense and vanilla flourish. The base notes have an animalistic aura due to the masculine woody notes that consist of leather, sandalwood and Tonka. A fragrance with a flirtatious style, Guerlain L'Homme Ideal is your best companion for fall and winter night outs.",4.86,8 Rating,"['Guerlain', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '1925', 'Almond, Tonka Bean, Leather, Citruses, Vetiver, Orange Blossom, Cedar, Rosemary, Bitter Orange', 'Eau de Parfum', 'Citruses, Rosemary, Orange Blossom, Bitter Orange', 'Almond, Tonka Bean', 'Leather, Cedar, Vetiver']",none,Guerlain,Men,Perfume,Charismatic,Aromatic,100 ml,1925,"Almond, Tonka Bean, Leather, Citruses, Vetiver, Orange Blossom, Cedar, Rosemary, Bitter Orange",Eau de Parfum,"Citruses, Rosemary, Orange Blossom, Bitter Orange","Almond, Tonka Bean","Leather, Cedar, Vetiver"
Candy Addict Addictive Temptation Bundle (EDP + Hair Mist) - 6 Pcs,249 SAR,"Candy Addict scents are now available in “minis” to take with you wherever you go! Can't decide on your favorite scent? No problem! The Addictive Temptation Bundle (EDP + Hair Mist) includes:
Candy Addict Addictive Temptation Mini Hair Mists Set - 3 x 30 ml:
- Musky Musk Hair Mist - 30 ml
- V Vanille Hair Mist - 30 ml
- Rosy Rose Hair Mist - 30 ml
Candy Addict Addictive Temptation Mini EDP Set - 3 x 30 ml:
- Musky Musk EDP - 30 ml
- V Vanille EDP - 30 ml
- Rosy Rose EDP - 30 ml
About the brand:
Candy Addict is here to break the rules of perfume and bring you fresh, quirky, unforgettable scents that will keep heads turning all day long! Candy Addict was born out of a love for all things fragrance. We use these fabulous fragrances to bring you an incredible range of hair & body mists, perfumes, home fragrances & wonderful bath & body selections!",none,none,"['Candy Addict', 'Unisex', 'Bundles']",none,Candy Addict,Unisex,Bundles,,,,,,,,,
Dior Sauvage EDP,430 SAR,"The powerful freshness of Sauvage EDP by Dior exudes new sensual and mysterious facets, sufficiently renewing itself with the signature of an ingenious composition. Calabrian bergamot, as juicy and spirited as ever, invites new spicy notes to add fullness and sensuality, as the woody ambery trail of Ambroxan is wrapped in the smoky accents of Papua New Guinean vanilla absolute for greater virility. François Demachy, Dior Perfumer, drew inspiration from the desert in the magical hour of twilight. Mixed with the coolness of the night, the burning desert air exudes profound fragrances. In the hour when the wolves come out and the sky is set ablaze, a new magic unfolds.
About the brand:
Founded in 1946 by designer Christian Dior, Dior is a pillar in the world of leather goods, fashion accessories, footwear, jewelry, timepieces, fragrance, makeup and skin care products, maintaining a long tradition as a creator of haute-couture fashion. In 1947, the group's first fragrance, Miss Dior, took the world by storm. Since that fateful day, Dior fragrances have truly made their mark thanks to their scope of influence and the use of the noblest of materials, boldly and passionately creating high-quality, unique and timeless fragrances.",5,4 Rating,"['Dior', 'Men', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2015', 'Bergamot,Lavender, Nutmeg, Sichuan Pepper, Star Anise,Vanilla, Ambroxan', 'Eau de Parfum', 'Bergamot', 'Lavender, Nutmeg, Sichuan Pepper, Star Anise', 'Vanilla, Ambroxan']",none,Dior,Men,Perfume,Charismatic,Aromatic,100 ml,2015,"Bergamot,Lavender, Nutmeg, Sichuan Pepper, Star Anise,Vanilla, Ambroxan",Eau de Parfum,Bergamot,"Lavender, Nutmeg, Sichuan Pepper, Star Anise","Vanilla, Ambroxan"
Giorgio Armani Armani Prive Vert Malachite,1645 SAR,"Giorgio Armani Armani, Prive Vert Malachite is a phenomenal aromatic fragrance for men and women, Mr. Armani was inspired by the olfactory experiences he experienced during his travels, a perfume that captures you and takes you to a new experience that you have never experienced before.
About the brand:
Girogio Armani has no competition when it comes to quality fragrances and perfumes for men and women. With an annual turnover of $1.6 billion as of 2017, Armani specializes in ready-to-wear, accessories, glasses, cosmetics, and perfumes. It is one of the most popular brands that have stopped using animal fur in their products.",none,none,"['Giorgio Armani', 'Unisex', 'Perfume', 'Charismatic', 'Aromatic', '100 ml', '2016', 'Bitter Orange, Petitgrain, Ylang Ylang, Jasmine Sambac, Pink Pepper, Lily, Benzoin, Vanilla.', 'Eau de Parfum']",none,Giorgio Armani,Unisex,Perfume,Charismatic,Aromatic,100 ml,2016,"Bitter Orange, Petitgrain, Ylang Ylang, Jasmine Sambac, Pink Pepper, Lily, Benzoin, Vanilla.",Eau de Parfum,,,
Yves Saint Laurent L'Homme,587 SAR,"A fresh and woody fragrance that plays on contrasts and leaves a magnetic, sensual trail. A fresh and sparkling opening. An elegant and modern character, made of floral and spicy notes. A woody ambery structure, deeply masculine. Notes of Bergamot, Ginger and Vetiver make this a must-have fragrance.",4,1 Rating,"['Yves Saint Laurent', 'Men', 'Perfume', 'Floral Oriental', '100 ml', 'Eau de Toilette', 'Citron, Ginger, Basil blossoms, Vetiver, Tonka bean']",none,Yves Saint Laurent,Men,Perfume,Floral Oriental,100 ml,Eau de Toilette,"Citron, Ginger, Basil blossoms, Vetiver, Tonka bean",,,,,
Who Am I Just Yes EDP - 100 ml,149 SAR,"Who Am I? In this modern world, I Am an essence driven by the Yes behind each & every moment! Just Yes to every blossom drenched with ylang-ylang essence. Yes to all the warmth brought by amber delicacy & to all the sweetness hidden in peppercorn spiciness. Just Yes to all the treasures in life! Exclusive only at Golden Scent.
About the brand:
Who Am I?
All great discoveries are ignited by a question! But ""Who Am I"" is more than Just a question, it's an invitation to discover the notes & serenity hidden within. A collection that speaks to you, driven by the certainty of the JUST & the curiosity of Who Am I?",5,1 Rating,"['Who Am I', 'Unisex', 'Perfume', 'Modern', 'Floral,Woody', '100 ml', '2019', 'Pink Pepper, Ylang-Ylang, Amber', 'Eau de Parfum', 'Pink Pepper', 'Ylang-Ylang', 'Amber']",none,Who Am I,Unisex,Perfume,Modern,"Floral,Woody",100 ml,2019,"Pink Pepper, Ylang-Ylang, Amber",Eau de Parfum,Pink Pepper,Ylang-Ylang,Amber
Viktor & Rolf Spice Bomb,382 SAR,"A strong masculine parfume that combines the strongest spices that never fail in showing the power of its scent to ignite your sense of smell as soon as you wear it, a magnificent sensual parfume, definitely bold.
About the brand:
One of the Dutch fashion houses specializing in creating innovative and exquisite designs. It was founded by Dutch designers Viktor Hursting and Rolf Snoren in 1993. It entered the world of parfumes in 2004, with parfumes that became very popular all over the world and currently owns a group of 34 parfumes.",4,2 Rating,"['Viktor & Rolf', 'Men', 'Perfume', 'Dynamic', 'Woody', '50 ml', '2012', 'Bergamot, grapefruit, pink pepper, resin, saffron, cinnamon, paprika, vetiver, tobacco and leather.', 'Eau de Toilette', 'Bergamot, grapefruit, pink pepper, resin', 'saffron, cinnamon, paprika', 'vetiver, tobacco and leather']",none,Viktor & Rolf,Men,Perfume,Dynamic,Woody,50 ml,2012,"Bergamot, grapefruit, pink pepper, resin, saffron, cinnamon, paprika, vetiver, tobacco and leather.",Eau de Toilette,"Bergamot, grapefruit, pink pepper, resin","saffron, cinnamon, paprika","vetiver, tobacco and leather"
Lorenzo Villoresi Firenze Teint De Neige EDT,659 SAR,"It's a delicately aromatic scent for both men and women that reminds of memories with its images, lights and atmosphere. Its rich extracts and precious notes of Ylang-Ylang, heliotrope and musk will envelop you with an intense smell that you cannot resist.
About the brand:
Lorenzo Villoresi is a leading Italian brand that was named after its owner. Villoresi's study and travel in the Middle East greatly influenced his work and some of his most important fragrances, which made it best known for custom-made fragrances.",5,1 Rating,"['Lorenzo Villoresi Firenze', 'Unisex', 'Perfume', 'Romantic', 'Floral', '100 ml', '2000', 'Jasmin, Ylang Ylang, Tonka bean, Rose, Heliotrope, Musk, sweet, powdery, floral notes', 'Eau de Toilette', 'Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes', 'Tonka bean, Jasmin, Rose, sweet, powdery, floral notes', 'Heliotrope, Musk, Rose, Jasmin, sweet, powdery, floral notes']",none,Lorenzo Villoresi Firenze,Unisex,Perfume,Romantic,Floral,100 ml,2000,"Jasmin, Ylang Ylang, Tonka bean, Rose, Heliotrope, Musk, sweet, powdery, floral notes",Eau de Toilette,"Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes","Tonka bean, Jasmin, Rose, sweet, powdery, floral notes","Heliotrope, Musk, Rose, Jasmin, sweet, powdery, floral notes"
Ibraheem Al.Qurashi Sapphire Leather EDP,178 SAR,"Spicy and glowing refreshment of ginger and pink pepper with iris charm in a luxurious aromatic blend.
The fragrance is of the modern oriental style, which adds to your appearance a modern beauty.
The scent is professionally designed to suit both men and women and remains strong and intense for long hours on all your different occasions.
About the brand:
Ibraheem Al.Qurashi is a Saudi brand that produces luxurious fragrances, air fresheners and original oud and bukhoor. The brand widely pumps its products across the kingdom and other Arab countries.",none,none,"['Ibraheem Al.Qurashi', 'Unisex', 'Perfume', 'Natural', 'Woody', '75 ml', 'Juniper Berries, Pink Pepper, Herbs, Ginger, Iris, Patchouli, Tonka beans, Amber, Leather', 'Eau de Parfum', 'Juniper Berries, Pink Pepper', 'Herbs, Ginger, Iris', 'Patchouli, Tonka beans, Amber, Leather']",none,Ibraheem Al.Qurashi,Unisex,Perfume,Natural,Woody,75 ml,"Juniper Berries, Pink Pepper, Herbs, Ginger, Iris, Patchouli, Tonka beans, Amber, Leather",Eau de Parfum,"Juniper Berries, Pink Pepper","Herbs, Ginger, Iris","Patchouli, Tonka beans, Amber, Leather",
Ralph Lauren Polo Red,270 SAR,"It's a Natural Eau de Toilette that is a ferocious and energizing fragrance which includes ingredients fitting the red color with a composition that begins with notes of Cranberry, Italian Lemon, Grapefruit, the heart notes of Sage, Saffron that represents the essence of the parfume, and the base notes of Coffee, Amber, Woodsy Notes which stays with you through out the day.
About the brand:
Ralph Lauren is an American fashion designer known for his popular Polo line and other lines of clothing, accessories and home decor also parfumes.",none,none,"['Ralph Lauren', 'Men', 'Perfume', 'Natural', 'Citrus', '125 ml', '2013', 'Cranberry, Italian Lemon, Grapefruit, Sage, Saffron, Coffee, Amber, Woodsy Notes', 'Eau de Toilette', 'Cranberry, Italian Lemon, Grapefruit', 'Sage, Saffron', 'Coffee, Amber, Woodsy Notes']",none,Ralph Lauren,Men,Perfume,Natural,Citrus,125 ml,2013,"Cranberry, Italian Lemon, Grapefruit, Sage, Saffron, Coffee, Amber, Woodsy Notes",Eau de Toilette,"Cranberry, Italian Lemon, Grapefruit","Sage, Saffron","Coffee, Amber, Woodsy Notes"
Calvin Klein Euphoria Men,169 SAR,"Make the mystery and excitement your distinctive address with this fragrance full of black pepper and ginger scattered on the basil sticks of black, no doubt you will enjoy more privacy with the smell of fragrant amber and Brazilian red wood with a set of fragrances that make it distinctive and stable for long periods
About the brand:
Calvin Richard Klein founded the global brand ""Calvin Klein"" in 1968. She started in the clothing industry and then moved on to presenting watches, jewelry, and feminine and masculine perfumes that captivate everyone from the first whiff.",5,1 Rating,"['Calvin Klein', 'Men', 'Perfume', 'Romantic', 'Oriental', '100 ml', '2006', 'Black pepper, ginger, black basil, saga, cedarwood, amber, patchouli, brazilian redwood', 'Eau de Toilette', 'Black pepper, ginger', 'black basil, saga, cedarwood', 'amber, patchouli, brazilian redwood']",none,Calvin Klein,Men,Perfume,Romantic,Oriental,100 ml,2006,"Black pepper, ginger, black basil, saga, cedarwood, amber, patchouli, brazilian redwood",Eau de Toilette,"Black pepper, ginger","black basil, saga, cedarwood","amber, patchouli, brazilian redwood"
Alexandre.J The Collector Morning Muscs,620 SAR,"This perfume is a mix between the French baroque architecture and the oriental desert. The top notes are mandarin orange, peach, grapefruit, and toffee; the heart notes are damask rose, patchouli, rose, and violet; the base notes are moss and musk. Morning Muscs mesmerizes with its charismatic sweet fruity and musk notes.
About the brand:
Alexandre.J is a brand by French perfume maker and artist Alexandre.J, who introduced it in 2012. The brand is known for sculpting various men and women fragrances using high-quality ingredients. All the perfumes stand out due to exemplary craftsmanship of bottles, which are created from fine materials such as crystal, mother of pearl, leather, and wood.",5,1 Rating,"['Alexandre.J', 'Unisex', 'Perfume', 'Charismatic', 'Floral Oriental', '100 ml', '2012', 'Alcohol Denat., Fragrance (Parfum), Water (Aqua), Butylphenyl Methylpropional, Limonene, Hexyl Cinnamal, Benzyl Salicylate, Citronellol, Linalool, Alpha-Isomethyl Ionone, Geraniol, Cinnamyl Alcohol, Eugenol', 'Eau de Parfum', 'Mandarin, Grapefruit, Peach, Toffee', 'Russian Rose, Turkish Rose, Patchouli, Violet', 'Musk, Moss']",none,Alexandre.J,Unisex,Perfume,Charismatic,Floral Oriental,100 ml,2012,"Alcohol Denat., Fragrance (Parfum), Water (Aqua), Butylphenyl Methylpropional, Limonene, Hexyl Cinnamal, Benzyl Salicylate, Citronellol, Linalool, Alpha-Isomethyl Ionone, Geraniol, Cinnamyl Alcohol, Eugenol",Eau de Parfum,"Mandarin, Grapefruit, Peach, Toffee","Russian Rose, Turkish Rose, Patchouli, Violet","Musk, Moss"
Ralph Lauren Polo Blue EDT,270 SAR,"It's a Extravagant Eau de Parfum that is an Aromatic Fougere fragrance for men with a composition that begins with notes of Melon, Mandarin Orange, Cucumber, the heart notes of Basil, Sage, Geranium that represents the essence of the parfume, and the base notes of Musk, Woodsy Notes, Suede which stays with you through out the day.
About the brand:
Ralph Lauren is an American fashion designer known for his popular Polo line and other lines of clothing, accessories and home decor also parfumes.",none,none,"['Ralph Lauren', 'Men', 'Perfume', 'Extravagant', 'Aquatic', '125 ml', '2003', 'Melon, Mandarin Orange, Cucumber, Basil, Sage, Geranium, Musk, Woodsy Notes, Suede', 'Eau de Toilette', 'Melon, Mandarin Orange, Cucumber', 'Basil, Sage, Geranium', 'Musk, Woodsy Notes, Suede']",none,Ralph Lauren,Men,Perfume,Extravagant,Aquatic,125 ml,2003,"Melon, Mandarin Orange, Cucumber, Basil, Sage, Geranium, Musk, Woodsy Notes, Suede",Eau de Toilette,"Melon, Mandarin Orange, Cucumber","Basil, Sage, Geranium","Musk, Woodsy Notes, Suede"
WAW Jasmine EDP - 50 ml,95 SAR,"Designed for the romantic & natural perfume lovers, a unique mesmerizing aroma waiting for you to be discovered. This fragrance is hard to forget and impossible to resist, it reflects the original scent of blossomed jasmines, and you can use this scent with the other fragrances from ""WAW"" collections, to create your own special perfume.
About the brand:
Created by the Arabian perfume house SARIB®, this collection is designed for the fragrance experts & unique perfume collectors who enjoy blending notes to create their own scent. ""WAW"" refers to the word in Arabic meaning ""And"", as these notes can be mixed together or applied individually.
Get to know Sarib®:
""A Story Behind Every Perfume"" Introducing Arabian aromatic drops with a unique approach that combines modern heritage and western inspiration. Each has its own identity with the finest ingredients & aromatic notes.",5,1 Rating,"['WAW', 'Unisex', 'Perfume', 'Romantic', 'Floral Oriental', '50 ml', '2020', 'Berries, Jasmine, Oud', 'Eau de Parfum', 'Berries', 'Jasmine', 'Oud']",none,WAW,Unisex,Perfume,Romantic,Floral Oriental,50 ml,2020,"Berries, Jasmine, Oud",Eau de Parfum,Berries,Jasmine,Oud
Dunhill Icon,106 SAR,"Dunhill Icon by Alfred Dunhill is the perfect woody-aromatic cologne for the refined gentleman. A well-rounded citrus bouquet of fresh bergamot and neroli absolute set the stage for this classic aroma fougere. Spicy and aromatic black pepper crackle at the heart while lavender and cardamom smooth the experience into a rich memory. Smoky oud and leather base notes entice an aroma reminiscent of timeless luxury and grounded in the present through hints of fresh vetiver and oakmoss. The heavy metal bottle reflects the timelessness and quality of this scent created by perfumer Carlos Benaim. This cologne is sure to draw compliments in any environment.
About the brand:
Developed by Alfred Dunhill, Dunhill started as a line of accessories called ""Dunhill's Motorities"". This first collection included car horns and lamps, leather overcoats, goggles, picnic sets and timepieces, providing the company with the strap line of ""Everything But The Motor"". Within a few years, the business moved towards the luxury market, and by the late 1970s, the brand offered a range of 3,500 luxury products in more than 20 stores round the world.",none,none,"['Dunhill', 'Men', 'Perfume', 'Charismatic', 'Oud', '100 ml', '2015', 'Italian bergamot, Neroli absolute, Black pepper, Petitgrain,Cardamom, Provençal lavender, Sage, Juniper berry,Iris, Oud, Vetiver, Leather, Oakmoss', 'Eau de Parfum', 'Italian bergamot, Neroli absolute, Black pepper, Petitgrain', 'Cardamom, Provençal lavender, Sage, Juniper berry', 'Iris, Oud, Vetiver, Leather, Oakmoss']",none,Dunhill,Men,Perfume,Charismatic,Oud,100 ml,2015,"Italian bergamot, Neroli absolute, Black pepper, Petitgrain,Cardamom, Provençal lavender, Sage, Juniper berry,Iris, Oud, Vetiver, Leather, Oakmoss",Eau de Parfum,"Italian bergamot, Neroli absolute, Black pepper, Petitgrain","Cardamom, Provençal lavender, Sage, Juniper berry","Iris, Oud, Vetiver, Leather, Oakmoss"
Creed Silver Mountain Water,1512 SAR,"Silver Mountain Water by Creed brings the crisp, refreshing scents of the outdoors to a men’s fragrance. The sturdy cologne, launched in 1995, is a cool burst of power and energy. The scent journey begins with the citrus sparkle of mandarin orange and bergamot. Mouthwatering and invigorating, they lead into middle notes of green tea and black currant. Earthy yet sweet, they impress with their clean aromas. The base is creamy and green, incorporating petitgrain, galbanum, sandalwood, and musk. Wear this frosty composition to inspire fearless confidence at any time of day.
About the brand:
A British multinational perfume house, Creed started off as a tailoring house in the 1700s. In the 1900s, Olivier Creed released the brand's first eponymously named fragrance, a traditional Eau de Cologne with a matching aftershave, marking Creed's first official foray into the world of fragrances. Today, the brand is considered as one of the most influential fragrance brands in the world.",none,none,"['Creed', 'Men', 'Perfume', 'Glamorous', 'Aromatic', '100 ml', '2002', 'Bergamot, Mandarin,Green Tea, Black Currant,Galbanum, Musk, Sandalwood, Petit Grain', 'Eau de Parfum', 'Bergamot, Mandarin', 'Green Tea, Black Currant', 'Galbanum, Musk, Sandalwood, Petit Grain']",none,Creed,Men,Perfume,Glamorous,Aromatic,100 ml,2002,"Bergamot, Mandarin,Green Tea, Black Currant,Galbanum, Musk, Sandalwood, Petit Grain",Eau de Parfum,"Bergamot, Mandarin","Green Tea, Black Currant","Galbanum, Musk, Sandalwood, Petit Grain"
Mont Blanc Legend,178 SAR,"Legend Night is the reincarnation of the Legend scent, a Sensual woody fragrance which discovers the inner charisma of men. The Night bottle perseverance as Legend, inspired by a precious liquor, mixes shiny black contrasts with an intense Cognac color.
About the brand:
The Mont Blanc is named after the snow-capped peak of the Alps. The firm has made a mark in the market for prestigious writing instruments for years, but has also expanded into a plethora of different product lines, from Swiss-made watches to eyewear and fragrances in an attempt to complete the luxurious lifestyle, all capped with the emblematic white peak design. The Mont Blanc has distinctive fragrances which are reminders of special moments, aimed at men and women who know how to distinguish themselves in a royal, elegant manner.",5,1 Rating,"['Mont Blanc', 'Men', 'Perfume', 'Charismatic', 'Woody Oriental', '50 ml', '2011', 'Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl', 'Eau de Toilette', 'Bergamot, Lavender, Pineapple Leaf, Verbena', 'Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule', 'Sandalwood, Tonka, Evernyl']",none,Mont Blanc,Men,Perfume,Charismatic,Woody Oriental,50 ml,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule","Sandalwood, Tonka, Evernyl"
One Word Stardust EDP - 100 ml,100 SAR,"From the dawn of time, otherworldly clusters of stars fascinated wanderers in search of mystical powers. The sublime ‘Stardust’ fragrance seamlessly blends the rare saffron spice with the tangy aroma of blood orange to create a truly magical fusion.
About the brand:
From the dawn of time, words & scents have been means of communication. Scents have the unique ability to build connections, uplift moods and captivate emotions. With ""One Word"" mystical collection, initiate that magical, everlasting bond with your surroundings. This one of a kind brand is exclusive to Golden Scent & offers four extraordinary fragrances.",none,none,"['One Word', 'Unisex', 'Perfume', 'Natural', 'Floral,Woody', '100 ml', '2019', 'Blood Orange, Saffron, Cedarwood', 'Eau de Parfum', 'Blood Orange', 'Saffron', 'Cedarwood']",none,One Word,Unisex,Perfume,Natural,"Floral,Woody",100 ml,2019,"Blood Orange, Saffron, Cedarwood",Eau de Parfum,Blood Orange,Saffron,Cedarwood
Dunhill Icon Racing,105 SAR,"Dunhill Icon Racing for men was released in 2017 and is a thrilling aromatic fragrance that represents the excitement and speed of British racing. The cologne opens with the top notes of cardamom, grapefruit, and bergamot. It then transitions into the middle notes of lavender, pepper, and orange blossom. The base notes add a touch of complexity with hints of musk, vetiver, and guaiac wood. The cologne is moderately long-lasting, so it will survive most events without wearing out its welcome, and it has a moderate sillage so the scent will certainly entice those around you but won’t fill the room with an overpowering scent.
About the brand:
Developed by Alfred Dunhill, Dunhill started as a line of accessories called ""Dunhill's Motorities"". This first collection included car horns and lamps, leather overcoats, goggles, picnic sets and timepieces, providing the company with the strap line of ""Everything But The Motor"". Within a few years, the business moved towards the luxury market, and by the late 1970s, the brand offered a range of 3,500 luxury products in more than 20 stores round the world.",3.5,1 Rating,"['Dunhill', 'Men', 'Perfume', 'Charismatic', 'Oriental', '100 ml', '2006', 'Bergamot, Grapefruit, Cardamom,Orange blossom, Lavender, Black pepper,Gaiac wood, Vetiver, Musk', 'Eau de Parfum', 'Bergamot, Grapefruit, Cardamom', 'Orange blossom, Lavender, Black pepper', 'Gaiac wood, Vetiver, Musk']",none,Dunhill,Men,Perfume,Charismatic,Oriental,100 ml,2006,"Bergamot, Grapefruit, Cardamom,Orange blossom, Lavender, Black pepper,Gaiac wood, Vetiver, Musk",Eau de Parfum,"Bergamot, Grapefruit, Cardamom","Orange blossom, Lavender, Black pepper","Gaiac wood, Vetiver, Musk"
Tom Ford Ombre Leather Parfum,943 SAR,"Don't hesitate to engrave a memorable memory in your heart and soul with this luxurious blend of jasmine and cardamom.
The leather accords provide you with a luxurious and classic feel and boosts the beauty of your look.
The fragrance is strong and intense and stays with you for long hours, grabbing the attention of everyone around you.
About the Brand:
Thomas Carlyle Ford is a famous American fashion designer and filmmaker. He has been one of the most important people in pop culture from the 1990s till this day. He is the owner of the luxury brand which was founded in 2005, in New York City. Tom Ford has produced amazing menswear, beautiful fragrances, high quality sunglasses and cool watches that are very popular with high fashion enthusiasts. His line can be found all over the world. In Europe alone, you can shop his products in many countries such as UK, Spain, France, Belgium, Germany, Greece, Finland, Sweden, Portugal, Ireland, etc.",none,none,"['Tom Ford', 'Unisex', 'Perfume', 'Classical', 'Leather', '100 ml', 'Parfum', 'Cardamom', 'Jasmine, Leather', 'Patchouli, Moss, Amber']",none,Tom Ford,Unisex,Perfume,Classical,Leather,100 ml,Parfum,Cardamom,"Jasmine, Leather","Patchouli, Moss, Amber",,
Chanel Bleu De Chanel,473 SAR,"An unexpected and incredibly bold fragrance, clear and extremely sensual, for the man who defies boring traditions, with a blend of citrus, patchouli, and vanilla.
About the brand:
Chanel needs no introduction; its high-quality and captivating collections of perfumes and fragrances for men and women are loved in every part of the world. Chanel has excelled in haute couture and ready-to-wear clothes, luxury goods, and fashion accessories. Chanel has also introduced a collection of watches and luxury jewelry.",none,none,"['Chanel', 'Men', 'Perfume', 'Extravagant', 'Aromatic', '100 ml', '2018', 'Citrus, ambery Cedar notes, Woods,Tonka Bean, Vanilla, Sandalwood.', 'Parfum', 'Citrus, ambery Cedar notes', 'Woods,Tonka Bean, Vanilla', 'Sandalwood']",none,Chanel,Men,Perfume,Extravagant,Aromatic,100 ml,2018,"Citrus, ambery Cedar notes, Woods,Tonka Bean, Vanilla, Sandalwood.",Parfum,"Citrus, ambery Cedar notes","Woods,Tonka Bean, Vanilla",Sandalwood
