Name,Price,Description,Rate,Rating_count,image,Brand,Gender,Product_Type,Character_x,Fragrance_Family,Size,Year,Ingredients,Concentration,Top_note,Middle_note,Base_note
Trussardi Donna,142,"Trussardi Donna is a feminine oriental floral fragrance crafted by Nathalie Lorson. The top notes of the fragrance include yuzu, lemon and watery fruits. Heart notes include orange blossom, jasmine tea and lotus. Base notes include white patchouli, cedar, sandalwood and vanilla. It was launched in the year 2011.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_trussardi_perfumes_donna_edt_100_ml_for_women_8011530015060.jpg,Trussardi,Women,Perfume,Feminine,Floral Oriental,50 ml,2011,"yuzu, lemon, watery fruits, orange blossom, jasmine tea, water lily, woody notes",Eau de Parfum,"yuzu, lemon, watery fruits","orange blossom, jasmine tea, water lily",woody notes
Fendi Furiosa,159,"Fendi Furiosa fragrance by Fendi, created as a laudationto the wild animal spirit of the exotic, stylish woman, Fendi Furiosa parfume by Fendi is an charming tincture of rich woods and cheerful florals that pull your attention",4,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/f/e/feni_furiosa.jpg,Fendi,Women,Perfume,Glamorous,Floral Oriental,50 ml,2014,"bergamot, pink pepper, gardenia, jasmine absolute, gillyflower, amber, gaiac wood, frankincense",Eau de Parfum,"bergamot, pink pepper","gardenia, jasmine absolute, gillyflower","amber, gaiac wood, frankincense"
Carolina Herrera 212 Sexy Women,323,"An exciting oriental floral fragrance that represents the essence of charming sensual femininity, and gives you an irresistible scent that combines passion and tenderness, with a mixture of bergamot, gardenia, and vanilla.
About the brand
Carolina Herrera is a Venezuelan-born American fashion designer, known for her elegance and sophistication. Before she became a designer, she was known as one of the most beautifully dressed women in the world. Her company is renowned for its sophisticated and elegant classic designs, as well as its fragrances.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/carolina_herrera_212_vip_sexy.jpg,Carolina Herrera,Women,Perfume,Romantic,Oriental,100 ml,2006,"mandarin orange, bergamot, green notes, cardamom, flowers, pepper, vanilla, sandalwood, guaiac wood, musk, amber.",Eau de Parfum,"mandarin orange, bergamot, green notes,","cardamom, flowers, pepper","vanilla, sandalwood, guaiac wood, musk, amber."
Cartier Declaration,382,"Declaration by Cartier is a Woody Floral Musk fragrance for men. Declaration was launched in 1998. The nose behind this fragrance is Jean-Claude Ellena. Top notes include sparkling bergamot, bitter orange, mandarin orange, neroli, artemisia, birch leaf, coriander and caraway seeds for a luminous, refreshing combination of EarthÃ¢â‚¬â„¢s best bounty. Middle notes of black pepper, cinnamon, and ginger create a spicy and exotic element thatÃ¢â‚¬â„¢s robust and enticing, while blue iris and jasmine add a sophisticated floral touch. Base notes such as Tahitian vetiver, cedar, tea, amber, and oakmoss inspire an earthy, sensual accent thatÃ¢â‚¬â„¢s made all the more masculine with the incorporation of leather.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cartier_declaration_eau_de_toilette.jpg,Cartier,Men,Perfume,Romantic,Floral,100 ml,1998,"bergamot, birch wood, orange,mugwort, cardamom, cedar,oakmoss, vetiver, cedar",Eau de Toilette,"bergamot, birch wood, orange","mugwort, cardamom, cedar","oakmoss, vetiver, cedar"
Cartier Declaration,382,"Declaration by Cartier is a Woody Floral Musk fragrance for men. Declaration was launched in 1998. The nose behind this fragrance is Jean-Claude Ellena. Top notes include sparkling bergamot, bitter orange, mandarin orange, neroli, artemisia, birch leaf, coriander and caraway seeds for a luminous, refreshing combination of Earthâ€™s best bounty. Middle notes of black pepper, cinnamon, and ginger create a spicy and exotic element thatâ€™s robust and enticing, while blue iris and jasmine add a sophisticated floral touch. Base notes such as Tahitian vetiver, cedar, tea, amber, and oakmoss inspire an earthy, sensual accent thatâ€™s made all the more masculine with the incorporation of leather.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/cartier_declaration_eau_de_toilette.jpg,Cartier,Men,Perfume,Romantic,Floral,100 ml,1998,"bergamot, birch wood, orange,mugwort, cardamom, cedar,oakmoss, vetiver, cedar",Eau de Toilette,"bergamot, birch wood, orange","mugwort, cardamom, cedar","oakmoss, vetiver, cedar"
Narciso Rodriguez Narciso Hair Mist ,246,Narciso Rodriguez Narciso Hair Mist A light and fresh mist that envelops hair with amazing mix of ingredients .Spray all over your hair to leave an attractive perfume wherever you go.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/4/3423478837355_narciso_rodriguez_narciso_edp_hair_mist_30ml.jpg,Narciso Rodriguez,Women,Perfume Set,Romantic,Oriental,Floral,2017,"rose, gardenia, musk, cedar, vetiver",Eau de Parfum,"rose, gardenia",musk,"cedar, vetiver"
Narciso Rodriguez Narciso Hair Mist ,246,Narciso Rodriguez Narciso Hair Mist A light and fresh mist that envelops hair with amazing mix of ingredients .Spray all over your hair to leave an attractive perfume wherever you go.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/3/4/3423478837355_narciso_rodriguez_narciso_edp_hair_mist_30ml.jpg,Narciso Rodriguez,Women,Perfume Set,Romantic,Oriental,Floral,2017,"rose, gardenia, musk, cedar, vetiver",Eau de Parfum,"rose, gardenia",musk,"cedar, vetiver"
Dolce & Gabbana The Only One,279,"A feminine fragrance from the oriental family, it gives you an attractive scent inspired by the essence of femininity for an elegant and dazzling woman, with an enchanting blend of bergamot, coffee, and caramel.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_dolce_gabbana_perfumes_the_only_one_for_women.jpg,Dolce & Gabbana,Women,Perfume,Romantic,Oriental,50 ml,2018,"bergamot, violet, orange, iris, coffee, pear, rose, orange blossom, patchouli, vanilla, caramel.",Eau de Parfum,"bergamot, violet, orange","coffee, iris","patchouli, vanilla, caramel."
Yves Saint Laurent Black Opium Hair Mist,228,Yves Saint Laurent Black Opium is a very feminine and full of life energetic scent infused with nourishing argan oil that gives the hair soft silky feeling and perfect shine lasts all day.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_hair_mist_yves_saint_laurent_perfumes_yves_saint_laurent_black_opium_hair_mist_for_women_3614271987952.jpg,Yves Saint Laurent,Women,Hair Mist,Glamorous,Woody,100 ml,2018,"coffee, orange blossom, cedarwood, patchouli",Eau de Parfum,coffee,orange blossom,"cedarwood, patchouli"
Gucci Bloom Hair Mist,295,It is a hair Mist for Women fills the hair with attractive fragrance that features the original three flowers to reflect the spirit of contemporary and different woman. Spray all over your hair to leave a delicate trail of perfume wherever you go.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_gucci_bloom_hair_mist_8005610713441.jpg,Gucci,Women,Hair Mist,Feminine,Floral,30 ml,2017,"jasmine bud, tuberose, rangoon creeper seeds.",Eau de Parfum,jasmine,tuberose,rangoon creeper seeds.
Versace Pour Homme Oud Noir,401,"An oriental woody fragrance with an oriental Arabic flavor for Oud and Spice lovers, gives you the perfect elegance with an amazing mixture of orange blossom, saffron, and patchouli.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/e/versace_pour_homme_oud_noir.jpg,Versace,Men,Perfume,Charismatic,Woody Oriental,100 ml,2013,"lemon, neroli, bergamot, rose de mai, hyacinth, clary sage, cedar, geranium, tonka bean, musk, amber.",Eau de Parfum,"lemon, neroli, bergamot, rose de mai","hyacinth, clary sage, cedar, geranium","tonka bean, musk, amber."
La Perla Divina,149,"La Perla Divina is a fruity, feminine fragrance that is perfect for either all-day or evening wear. Top notes of mandarin orange, pear, strawberry, and champagne blend seamlessly together to create a fruity accord with a zesty edge. Comprised of rose, African orange flower, and jasmine, the heart of the perfume anchors it in sweet floral. The aroma is rounded out with a combination of amber, musk, vanilla, and woody notes. This blend adds a subtle balsamic accord with hints of gourmand creaminess and earthiness. This flirty fragrance first hit the market it 2011.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/l/a/la_perla_divina_edt_50ml_8002135096943.jpg,La Perla,Women,Perfume,Romantic,Floral,50 ml,2007,"big strawberry, champagne, pear, calabrain mandarin ,jasmine, african orange flower, rose,musk, amber, vanilla, woodsy notes",Eau de Toilette,"big strawberry, champagne, pear, calabrain mandarin","jasmine, african orange flower, rose","musk, amber, vanilla, woodsy notes"
Candy Addict Addictive Temptation Mini Hair Mists Set ,149,"Candy Addict hair mists are now available in Ã¢â‚¬Å“minisÃ¢â‚¬Â to take with you wherever you go! They contain Vitamin E, a powerful antioxidant that moisturises, smoothes & adds shine to the hair! Can't decide on your favorite scent? No problem! The Addictive Temptation set includes:
Musky Musk:
Beautiful, earthy notes of musk are layered with bergamot and rose to create a hair mist sensation! The combination of warm and floral notes makes a sensual, intoxicating hair mist!
V Vanille:
An intoxicating blend of vanilla and floral notes with a touch of Oriental! Take your fragrance game to a whole new level with this one of a kind hair sensation.
Rosy Rose:
This seductive, addictive hair mist will keep you coming back for more! The gentle, sophisticated fragrance will delicately scent your hair with floral notes of rose and geranium and musk. Pure heaven.
How to use:
From about 20 cm away, spritz the mist evenly over your hair. Then, go and enjoy your deliciously beautiful hair! Don't forget to shake the bottle before use to liven up the candy!
Reapply throughout the day whenever you need a dose of awesomeness!",4.75,3,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/d/-/d-candyaddict-minis-hairmist-1.jpg,Candy Addict,Women,Perfume Set,Romantic,Floral,100 ml,2021,unknown,Eau de Parfum,unknown,unknown,unknown
Yves Saint Laurent Libre Intense,525,"An aromatic masterpiece crafted for women seeking freedom and uniqueness. Its fragrance contains a blend of scents inspired by exotic flowers, added to the seduction of citrus and the elegance of woody notes. All this magic is presented to you in a mythical bottle of precious drops and a charming scent that attracts attention to you.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/6/3614273069540-yves-saint-laurent-libre-_w_-edp-intense-50-ml-1.jpg,Yves Saint Laurent,Women,Perfume,Romantic,Fruity,50 ml,2017,"sugar, raspberry, orange oil, pink jasmine, amber, plum, vanilla, white wood, and musk.",Eau de Parfum,"sugar, raspberry, orange oil","pink jasmine, amber, plum","vanilla, white wood, and musk"
Van Cleef & Arpels Moonlight Patchouli,782,"Van Cleef & Arpels Moonlight Patchouli eau de parfume is a great unisex fragrance that was introduced in 2016. The scent starts with spicy patchouli, creamy wood and cocoa. Then dark woody mixes of floral and leather notes are blended together.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3386460078795nvan_cleef_arpels_moonlight_patchouli_edp_75_ml_1.jpg,Van Cleef & Arpels,Women,Perfume,Romantic,Woody,75 ml,2016,"cocoa, leaves, patchouli, woods, iris, bulgarian rose, fruity fragrance and suede.",Eau de Parfum,"cocoa, patchouli leaves, and woods.","iris, and bulgarian rose",fruity fragrance and suede.
Very Important Notes No 4 EDP ,295,"For the rebel soul in you. This fragrance is the most evoking scent from this collection. It started with a quest to find a true adventurous fragrance. This scent emerged to fulfill this pursuit, by blending the earthly scent of oud wood, the strength of tobacco, the refreshing coffee accord & the complexity of vetiver. A timeless combination, only a true braveheart can own it.",5,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/v/i/vin_4-ver2-3.jpg,Very Important Notes,Unisex,Perfume,Charismatic,Oriental,100 ml,2020,"green coffee accord ,cedarwood, tobbaco, vetiver ,amber, oud accord, smokey note",Eau de Parfum,green coffee accord,"cedarwood, tobbaco, vetiver","amber, oud accord, smokey note"
Jean Paul Gaultier So Scandal!,440,"The new Jean Paul Gaultier perfume for her. So couture. So Scandal! How scandalous! How does she dare? So outrageous. So Couture. The new Eau de Parfum So Scandal! wittily reveals an even more daring and sensual Jean Paul Gaultier brand of femininity. In the chic but crazy world of Paris high society, her amused casualness is so stylish it gets her noticed wherever she goes. And so Her floral trail is so addictive, it loves to be talked about.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/4/8435415032520-jean-paul-gaultier-so-scandal_.jpg,Jean Paul Gaultier,Women,Perfume,Romantic,Floral,80 ml,2020,"orange blossom, jasmine tuberose",Eau de Parfum,orange blossom,jasmine,tuberose
Maqam Al Shoyoukh EDP ,700,"The word ""Sheikh"" has a deep and long history in the Oriental world, and for a long time, this word has always been reflected with luxury and pride. We offer you this perfume to take you on a captivating journey to Europe with Moroccan jasmine and rose. After, you will feel the fragrance of authentic amber with notes of musk and aged Virginia cedarwood that will create mountains of solidity and strength inside your soul. You will also experience the scent of red apple along with the sweetness of caramel for a sprinkle of deliciousness. This perfume is specially made to make you feel the oriental luxury that surrounds us with its endless splendor.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maqam-alshoyoukh-d_2_.png,Maqam,Women,Perfume,Romantic,Floral Oriental,120 ml,2021,"valerian, lactonic (milky), fruity (red apple), rose, moroccan jasmine, lily, amber, woody (virginia cedarwood), caramel, musk",Eau de Parfum,"valerian, lactonic (milky), fruity (red apple)","rose, moroccan jasmine, lily","amber, woody (virginia cedarwood), caramel, musk"
Candy Addict Colourful Moments Hair Mist Set ,149,"Candy Addict hair mists are now available in Ã¢â‚¬Å“minisÃ¢â‚¬Â to take with you wherever you go! They contain Vitamin E, a powerful antioxidant and Provitamin B5 that moisturises, smoothes & adds shine to the hair! Can't decide on your favourite scent? No problem! The Colourful Moments set includes:
Purple Rain:
Falling from afar from a magical world full of flowers and purple roses, dreamy and delicate, touching your hair and returning again with its abundant aroma and musky notes that will last for a long time.
Pink Moon:
As soon as it's there, it controls the vibes, and when it appears, it announces a new beginning in which flowers bloom to spread their oriental fragrance in your hair. A long-lasting fragrance for your hair with a wonderful and harmonious blend of raspberry, caramel and leather.
Blue Light:
Its fragrance radiates everywhere and anytime without stopping, captivating you with its beauty, so you follow its long-lasting fragrance among fruit trees, which flow in your hair with great softness.
Moisturize, soften and strengthen your hair with Vitamin E, a powerful antioxidant, and Provitamin B5. Give your hair that extra shine and volume that it deserves, whilst leaving your hair less prone to breakage.
How to use:
From about 20 cm away, spritz the mist evenly over your hair.
Then go out and be awesome!
Don't forget to shake the bottle before use to liven up the candy!
Reapply throughout the day whenever you need a dose of fabulousness!",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/c/-/c-candyaddict-minis-hairmist-1.jpg,Candy Addict,Women,Perfume Set,Romantic,Floral,100 ml,2021,unknown,Eau de Parfum,unknown,unknown,unknown
Ajmal Raindrops,46,"Ajmal Raindrops An awesome perfume with unique floral, fruity and sensual notes for the ultra-modern woman of today. A modern scent, which exudes a sleek and simplistic elegance enveloping the wearer in a delicate weave of contemporary elements.",5,3,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_ajmal_perfumes_raindrops_spray_for_women_6293708001712.jpg,Ajmal,Women,Perfume,Glamorous,Floral,50 ml,2006,"floral notes , woodsy notes, fruity notes, ambergris",Eau de Parfum,floral notes,woodsy notes,"fruity notes, ambergris"
Parfums de Marly Oriana EDP,1232,"Express your charming femininity with a beautiful touch of fragrance.
Taste the sweetness of marshmallow along with whipped cream at the end of your day.
Don't hesitate to add a touch of elegance to your life so you can enjoy your time in Summer.
The blend of orange blossom along with black currant form a soft heart that evokes your feelings.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/7/3700578502407_parfums_de_marly_parfums_de_marly_oriana_edp_75ml.png,Parfums de Marly,Women,Perfume,Romantic,Oriental,75 ml,2021,"grapefruit, bergamot, orange, black currant, raspberry, orange blossom, mallow musk, musk, whipped cream, marshmallow",Eau de Parfum,"grapefruit, bergamot, orange","black currant, raspberry, orange blossom","mallow musk, musk, whipped cream, marshmallow"
Dkhoun Emerald Oud,261,It's a luxurious fragrance that begins with ginger and nutmeg with a heart of Kashmiri oud and amber. It is based on vetiver and musk,none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/1/310044-dkhoun-_-_-_75ml-1.jpg,Dkhoun,Unisex,Perfume,Charismatic,Oriental,75 ml,2017,"ginger, nutmeg, kashmiri oud, amber, vetiver, musk",Eau de Parfum,"ginger, nutmeg","kashmiri oud, amber","vetiver, musk"
Atelier Des Ors Lune Feline,1079,"This oriental fragrance inspired by the dark and luxurious notes of moon nights with its magnetic star that captures everyoneÃ¢â‚¬â„¢s attention. This fragrance adds a vibrant touch with warm spices, precious woods and sensual aroma of orchid.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_atelier_des_ors_perfumes_lune_feline_eau_de_parfum_100ml.jpg,Atelier Des Ors,Women,Perfume,Glamorous,Oriental,100 ml,2015,"pink pepper, cardamom, cinnamon, strex, amber, woods, cedarwood, green leaves, musk, peru balsam, vanilla",Eau de Parfum,"pink pepper, cardamom, cinnamon","strix, amber, woods, cedar, green leaves","musk, peruvian conditioner, vanilla"
Candy Addict Berry B Hair Mist ,179,"Ready to be instantly transported to a tropical island full of tasty fruit and summer vibes? Berry B hair mist ensures you leave a deliciously addictive scent behind you everywhere you go! A perfect blend of raspberry, vanilla and freesia notes. Berry special indeed.
Moisturize, soften and strengthen your hair with Vitamin E, a powerful antioxidant, and Provitamin B5. Give your hair that extra shine and volume that it deserves, whilst leaving your hair less prone to breakage.
How to use:
From about 20 cms away, spritz the mist evenly over your hair.
Then go and enjoy your Berrylicious day!
Don't forget to shake the bottle before use to liven up the candy!
Reapply throughout the day whenever you need a dose of fabulousness!",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/c/a/ca_hair_mist-berry_b.png,Candy Addict,Women,Hair Mist,Romantic,Fruity,100 ml,2019,"raspberry, freesia, vanilla",Eau de Parfum,raspberry,freesia,vanilla
Be Colourful Bundle ,299,"This set contains:
Candy Addict Colourful Moments Hair Mist Set - 3x30 ml
Candy Addict hair mists are now available in Ã¢â‚¬Å“minisÃ¢â‚¬Â to take with you wherever you go! They contain Vitamin E, a powerful antioxidant and Provitamin B5 that moisturises, smoothes & adds shine to the hair! Can't decide on your favourite scent? No problem! The Colourful Moments set includes:
- Purple Rain Hair Mist - 30 ml
- Pink Moon Hair Mist - 30 ml
- Blue Light Hair Mist - 30 ml
Candy Addict Blue Light EDP - 50 ml
Its fragrance radiates everywhere and anytime without stopping, captivating you with its beauty, so you follow its long-lasting fragrance among fruit trees, which flow in with great softness.
Candy Addict Purple Rain EDP - 50 ml
Falling from afar from a magical world full of flowers and purple roses, dreamy and delicate, touching your soul and returning again with its abundant aroma and musky notes that will last for a long time.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/s/b/sb100379.png,Candy Addict,Women,Bundles,Romantic,Floral,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
Coach Coach Women,231,"Originally released in 2007, Coach perfume by Coach is a 2016 updated version that has a free-spirited and authentic attitude. Its fruity-floral scent is uplifting and refreshing with just a hint of the sort of elegant leather accessories that have made the designer famous. The fragrance opens with top notes of pink pepper, pear, and raspberry leaf, and then reveals a luxurious heart of Turkish rose. The base notes finish the aromas in a blend of suede musk and rich sandalwood, to give the perfume an undeniable allure. This is a classic fragrance that is always a good choice for any of your occasions.",5,2,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_coach_perfumes_coach_women_edp_for_women_eau_de_perfum.jpg,Coach,Women,Perfume,Feminine,Woody,50 ml,2017,"rasepberry leaf, pink pepper, pear,turkish rose,musk, sandalwood",Eau de Parfum,"rasepberry leaf, pink pepper, pear",turkish rose,"musk, sandalwood"
Candy Addict Sugar Shock Duo Set ,199,"Hey, sugar! Live the sweet life with this delightful duo containing a Sugar Shock Hair Mist (100ml) and Sugar Shock Body Mist (250ml).
Did someone say sugar rush? This captivating body mist will leave you smelling good enough to eat. The sweet cotton candy & caramel scents are complimented with fruity notes that will delight the senses!
How to use:
Hair mist:
From about 20 cms away, spritz the mist evenly over your hair. Then smile, this is gonna be your day! Don't forget to shake the bottle before use to liven up the candy!
Body mist:
For best results, hold the bottle at least 20 cms away to ensure even coverage. Spray your body mist all over the body after showering or throughout the day to freshen up!",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/l/i/life-is-sweet---sb100163.png,Candy Addict,Women,Perfume Set,Romantic,Floral,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
Candy Addict Addictive Temptation Bundle ,249,"Candy Addict scents are now available in Ã¢â‚¬Å“minisÃ¢â‚¬Â to take with you wherever you go! Can't decide on your favorite scent? No problem! The Addictive Temptation Bundle (EDP + Hair Mist) includes:
Candy Addict Addictive Temptation Mini Hair Mists Set - 3 x 30 ml:
- Musky Musk Hair Mist - 30 ml
- V Vanille Hair Mist - 30 ml
- Rosy Rose Hair Mist - 30 ml
Candy Addict Addictive Temptation Mini EDP Set - 3 x 30 ml:
- Musky Musk EDP - 30 ml
- V Vanille EDP - 30 ml
- Rosy Rose EDP - 30 ml",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/s/b/sb100380-addictive_temptation_6_pcs_edp_hair_mist.png,Candy Addict,Women,Bundles,Romantic,Floral,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
The Finest Leather EDP ,249,"Description
Ã¢â‚¬Å“Enchanting, Oriental and SensualÃ¢â‚¬Â
A fragrant blend with endless creativity! Enchanting with its rich leather notes captivating the hearts of everyone around you, oriental and classy refined mixture of attractive incense notes, and sensual scent of patchouli that combines warmth and freshness. This distinctive aromatic fragrance will not leave your side, as it lasts for long hours, and brings out a harmonious & beautiful Leather scent.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/t/h/the-finest-leather.jpg,The Finest,Women,Perfume,Romantic,Leather,100 ml,2021,"leather, incense, patchouli",Eau de Parfum,leather,incense,patchouli
Kholasaat Portrait,389,"This oriental fragrance is intense and smooth at the same time. It's inspired by the amazing portraits you can see around the world, to provide you with a magnificent scent with a blend of amber and patchouli.",5,1,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_kholasaat_perfumes_portrait_for_unisex_eau_de_perfum_6287003650317.jpg,Kholasaat,Women,Perfume,Romantic,Oriental,100 ml,2013,"patchouli, guaiac wood, vanilla, amber",Eau de Parfum,vanilla,guaiac wood,"patchouli, amber"
Candy Addict Powdery Pow Duo Set ,189,"A soft and attractive feminine fragrance collection that attracts the attention of everyone around you. This collection features refreshing sweet powdery notes of rose and iris.
This set contains:
Candy Addict Powdery Pow EDP - 50 ml
Candy Addict Powdery Pow Hair Mist - 100 ml",none,none,https://assets.goldenscent.com/catalog/product/cache/1/small_image/750x750/9df78eab33525d08d6e5fb8d27136e95/s/b/sb100243_candy_addict_candy_addict_powdery_pow_set_.png,Candy Addict,Women,Perfume Set,Romantic,Floral,100 ml,2017,unknown,Eau de Parfum,unknown,unknown,unknown
Chopard Black Incense Malaki,295,"This fragrance is a new woody leather fragrance for women and men that represents the bold character. It captures warm spices blended with woody notes of oud, and leather. It is an unforgettable scent.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/6/7640177360366-chopard-chopard-black-incense-malaki-_u_-edp-80-ml-1.jpg,Chopard,Women,Perfume,Romantic,Oriental,80 ml,2020,"olibanum, spices, agarwood (oud), leather, resin, smoke, woody notes",Eau de Parfum,"olibanum, spices","agarwood (oud), leather","resin, smoke, woody notes"
Kholasaat Majesty Lyrique,389,"From the very first use, this fragrance will captivate your senses. The mix of oriental and french notes in this fragrance will provide you with a long-lasting scent, thanks to the amazing combination of saffron, along with rose, vanilla and praline.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_kholasaat_perfumes_majesty_lyrique_for_unisex_eau_de_perfum_6287003650416.jpg,Kholasaat,Women,Perfume,Romantic,Oriental,100 ml,2017,"saffron, rose, woody notes, vanilla, praline",Eau de Parfum,"saffron, rose",woody notes,"vanilla, praline"
Thameen Fragrance Peregrina Extrait De Parfum,650,"Peregrina is a floral fragrance for men and women.
It was launched with an amazing blend in 2019.
A captivating and sensual fragrance acts like a tropical garden in a quiet Summer day to offer a gentle and attractive scent that highlights the oriental amber.
This fragrance reveals scents of myrrh, attractive vanilla, and sensual ylang-ylang, carefully blended in the scents of the colorful flowers of damask rose, jasmine, and gardenia.
This fabulous blend adds vitality to the fragrance, while making you feel fresh.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/2/724120147017-thameen-fragrance-peregrina-extrait-de-parfum-50ml-01.png,Thameen Fragrance,Women,Perfume,Romantic,Floral,50 ml,2019,"damask rose, lily of the valley, gardenia, jasmine, vanilla, amber, caramel, myrrh, ylang-ylang, white musk, amber, powder",Extrait de Parfum,"damask rose, lily of the valley, gardenia, jasmine","vanilla, amber, caramel, myrrh, ylang-ylang","white musk, amber, powder"
Kholasaat Majesty Alliance,470,"Enjoy this luxurious fragrance that will fill you with energy and vitality, thanks to the combination of jasmine sambac and musk. Its strong scent will last up to six hours, enhancing rishness and revitalizing you throughout the day.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_kholasaat_perfumes_majesty_alliance_for_unisex_eau_de_perfum_6287003650515.jpg,Kholasaat,Women,Perfume,Romantic,Oriental,100 ml,2017,"jasmine sambac, rose damacena, musk",Eau de Parfum,jasmine sambac,rose damacena,musk
Kholasaat Classic Oud,422,This oriental fragrance is inspired by the best historical classic ingredients that embodies Arabism and authenticity. It's an unforgottable scent that will impress your partner on romantic nights. The special blend of Cambodian agarwood will provide you with glamor on special and warm occasions.,none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/g/o/golden_scent_perfume_kholasaat_perfumes_classic_oud_for_unisex_eau_de_perfum_6287003650072.jpg,Kholasaat,Unisex,Perfume,Charismatic,Oriental,50 ml,2013,oud,Eau de Parfum,unknown,unknown,unknown
Nicolai Patchouli Hair Mist,594,"It's a hair mist with fresh notes of orange and lavender.
The fragrance wraps your hair with an elegant scent making you feel high in the sky of beauty.
Don't hesitate to get the highest stance among all women with this aromatic hair mist.
The charming base has amber and musk to reflect your femininity and reveal your soft romance.",none,none,https://assets.goldenscent.com/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/5/3581000028678-nicolai-nicl---patchouli-intense-hair-mist-50-ml.png,Nicolai,Women,Hair Mist,Romantic,Oriental,50 ml,2017,"lavender, rose, geranium, rose, patchouli, sandalwood, vanilla, incense, amber, musk",Eau de Parfum,"lavender, rose","geranium, rose","patchouli, sandalwood, vanilla, incense, amber, musk"
